BU,CT,IE,fuelType,TOT_SF,TOT_A,I127,I129,I131
50.0,11132.5,4.5,UOX,567.629,57337800000.0,3.30372788106354e-06,1.02782883042237e-05,0.0
50.0,11315.0,4.5,UOX,557.279,56568800000.0,3.30372788106354e-06,1.02782880774836e-05,0.0
50.0,11497.5,4.5,UOX,547.124,55812000000.0,3.30372788106354e-06,1.02782878507436e-05,0.0
50.0,11680.0,4.5,UOX,537.162,55067100000.0,3.30372788106354e-06,1.02782876240035e-05,0.0
50.0,11862.5,4.5,UOX,527.388,54333800000.0,3.30372788106354e-06,1.02782873972634e-05,0.0
50.0,12045.0,4.5,UOX,517.8,53612100000.0,3.30372788106354e-06,1.02782871705234e-05,0.0
50.0,12227.5,4.5,UOX,508.393,52901500000.0,3.30372788106354e-06,1.02782869437833e-05,0.0
50.0,12410.0,4.5,UOX,499.164,52202000000.0,3.30372788106354e-06,1.02782867170433e-05,0.0
50.0,12592.5,4.5,UOX,490.11,51513300000.0,3.30372788106354e-06,1.02782864903032e-05,0.0
50.0,12775.0,4.5,UOX,481.228,50835300000.0,3.30372788106354e-06,1.02782862635632e-05,0.0
50.0,12957.5,4.5,UOX,472.514,50167600000.0,3.30372788106354e-06,1.02782860368232e-05,0.0
50.0,13140.0,4.5,UOX,463.965,49510100000.0,3.30372788106354e-06,1.02782858100831e-05,0.0
50.0,13322.5,4.5,UOX,455.577,48862700000.0,3.30372788106354e-06,1.02782855833431e-05,0.0
50.0,13505.0,4.5,UOX,447.349,48225100000.0,3.30372788106354e-06,1.02782853566031e-05,0.0
50.0,13687.5,4.5,UOX,439.276,47597100000.0,3.30372788106354e-06,1.02782851298631e-05,0.0
50.0,13870.0,4.5,UOX,431.356,46978700000.0,3.30372788106354e-06,1.02782849031231e-05,0.0
50.0,14052.5,4.5,UOX,423.587,46369600000.0,3.30372788106354e-06,1.02782846763831e-05,0.0
50.0,14235.0,4.5,UOX,415.964,45769600000.0,3.30372788106354e-06,1.02782844496431e-05,0.0
50.0,14417.5,4.5,UOX,408.486,45178600000.0,3.30372788106354e-06,1.02782842229031e-05,0.0
50.0,14600.0,4.5,UOX,401.149,44596500000.0,3.30372788106354e-06,1.02782839961631e-05,0.0
50.0,14965.0,4.5,UOX,386.89,43458100000.0,3.30372788106354e-06,1.02782835426831e-05,0.0
50.0,15330.0,4.5,UOX,373.165,42353300000.0,3.30372788106354e-06,1.02782830892032e-05,0.0
50.0,15695.0,4.5,UOX,359.956,41280800000.0,3.30372788106354e-06,1.02782826357233e-05,0.0
50.0,16060.0,4.5,UOX,347.241,40239600000.0,3.30372788106354e-06,1.02782821822434e-05,0.0
